# N 	NAME 	S[cm] 	BetaX1 	AlfaX1 	BetaY1 	AlfaY1 	Teta1/(2*PI) 	BetaX2 	AlfaX2 	BetaY2 	AlfaY2 	Teta2/(2*PI) 	U      	DspX 	DspXp 	DspY 	DspYp 	NuX 	NuY 	-M56[cm]
   0	START	  0.00	9454.3	-0.807353	72.4084	-0.0154896	-0.0385626	152.409	0.00604974	5843.42	0.153564	-0.466268	0.00979505	212.569	0.00895484	7.74879	0.0033399	0.00000	0.00000	0
 156	qTQFE1F13	7426.22	9506.25	1.82403	152.487	-0.0331454	0.139764	291.597	0.0332625	3062.77	-0.660399	0.281536	0.0122202	127.512	-0.0120225	17.7078	0.00476918	0.24431	0.18479	-4.33816
 218	qTQDE2F14	10400.56	3055.61	-0.629289	291.697	0.0818061	0.234548	153.798	-0.0334845	9665.51	1.89893	0.359957	0.00371715	153.126	0.0742328	26.0123	-0.00678847	0.34431	0.26973	-11.3096
 281	qTQFE1F15	13377.44	9309.53	1.77776	10.5529	0.00969125	0.269784	350.155	0.0898891	3003.59	-0.573065	0.45096	0.00584041	395.879	-0.0446689	7.54666	-0.00290172	0.43077	0.36980	-25.621
 344	qTQDE2F16	16349.24	3080.77	-0.655927	56.7146	-0.0056971	-0.0053142	20.907	0.013055	8905.84	1.77039	-0.494852	0.00596806	337.518	0.110495	0.520456	-0.00225569	0.53103	0.45921	-42.4374
 406	qTQFF3F17	19323.58	9530.51	1.85061	124.388	-0.0564513	0.0421217	28.7256	-0.00634493	2877.86	-0.630842	0.22812	0.0062991	666.749	-0.117457	-4.38493	-0.00232461	0.61587	0.56658	-62.291
 490	qTQDF4F18	22297.92	3005.86	-0.58449	492.817	0.0944362	0.135783	91.8158	-0.0435789	9444.56	1.71027	0.27793	0.0045996	359.442	0.0324882	-26.1767	0.00222439	0.71654	0.65550	-69.7165
 553	qTQFF3F19	25272.26	8965.48	1.7454	111.329	0.00043371	0.210303	458.665	0.0826604	3421.09	-0.741358	0.359409	0.00767185	470.842	-0.121964	-19.1421	-0.0036892	0.80555	0.74933	-80.4165
 616	qTQDF4F21	28249.14	2942.6	-0.623071	100.055	0.0380249	0.277718	109.676	6.42157e-05	10214.3	2.01258	0.415764	0.00982346	171.896	-0.0231609	-26.4756	0.00760701	0.91068	0.82637	-86.2888
 680	qTQFF3F22	31220.94	9262.52	1.76527	13.8492	-0.0139829	0.0514881	94.7254	0.0377685	3034.06	-0.530228	0.465939	0.0108422	143.403	-0.0485262	-3.54899	0.00620454	0.99858	0.92190	-85.6667
 744	qTQDF4F23	34195.28	3063.52	-0.626388	177.409	0.0161693	0.0608891	9.6354	-0.00669541	8607.85	1.65834	0.29759	0.00977855	54.8798	0.00434019	9.67712	0.00124373	1.09910	1.01229	-83.9626
