# N 	NAME 	S[cm] 	BetaX1 	AlfaX1 	BetaY1 	AlfaY1 	Teta1/(2*PI) 	BetaX2 	AlfaX2 	BetaY2 	AlfaY2 	Teta2/(2*PI) 	U      	DspX 	DspXp 	DspY 	DspYp 	NuX 	NuY 	-M56[cm]
1062	qTQF28	49066.98	9385.69	1.78168	20.5647	-0.0178551	0.0432496	40.5236	0.0176279	2915.14	-0.544415	0.444263	0.00923666	670.347	-0.120314	-5.61794	-0.00663977	0.06792	0.47289	-142.145
1189	qTQF32	55015.66	9277.94	1.75411	190.09	-0.0490422	0.146469	355.545	0.0391197	3151.12	-0.711111	0.258912	0.0124623	563.554	-0.130209	-5.32343	0.00210019	0.25187	0.16736	-176.403
1260	qTQF33	58068.74	3218.22	-0.702417	421.336	0.109854	0.248738	192.537	-0.040693	9762.35	1.92614	0.338504	0.00290205	245.09	-0.00319952	-15.5158	0.00262088	0.35630	0.25048	-186.174
#1326	qTQF34	61043.08	9317.09	1.83638	27.7617	0.0155101	0.305412	404.59	0.107584	3175.38	-0.598474	0.430703	0.00566066	260.483	-0.0771761	-7.32201	0.000473966	0.43783	0.34936	-188.699
3871	qTQA42	183530.34	8674.66	1.54096	108.402	-0.0657894	0.113242	250.685	0.0022307	3189.37	-0.63665	0.125237	0.00911519	613.982	-0.0974268	8.85593	-0.000985688	0.22885	0.07686	-543.55
4052	qTQA45	192455.90	5573.5	-1.37034	129.694	0.0551865	0.332253	288.334	-0.0375145	7316.43	1.34912	0.415023	0.00239189	443.016	0.095632	-42.1577	0.00731056	0.47059	0.38151	-579.203
4611	qTQB15	222817.17	7761.71	1.4882	28.3229	0.0131941	-0.426717	54.0045	0.0301032	5028.55	-0.636556	-0.434541	-0.0148228	321.719	-0.0275252	32.81	0.00213351	0.01478	0.44446	-640.371
8140	qTQC42	392969.85	8512.79	1.48804	113.145	-0.0490577	0.187375	428.807	0.0584862	2968.6	-0.608527	0.148483	-0.00616668	567.024	-0.0858742	5.42231	-0.00353229	0.30142	0.15498	-1149.49
8321	qTQC45	401895.41	5984.86	-1.45097	28.187	0.0174089	-0.476314	42.1503	0.00704855	7773.95	1.50432	-0.483036	-0.00690826	475.391	0.112854	-26.6703	0.00626411	0.03600	0.45400	-1182.55
8916	qTQD15	432256.68	7717.69	1.57139	14.4628	-0.0117833	0.0142099	37.5946	0.0202353	4615.27	-0.584349	0.488608	0.00478481	263.457	-0.0223921	17.2046	-0.000671434	0.07745	0.00876	-1254.57
11259	qTQE17	542922.57	9690.71	1.85383	64.8786	0.000885053	0.262923	284.029	0.066052	2935.88	-0.589061	0.333515	0.0161881	615.484	-0.103027	12.4007	0.00152481	0.00383	0.37103	-1558.54
11375	qTQE19	548871.25	9263.06	1.8054	14.9273	-0.0121675	0.100754	26.8503	0.00902088	2972.95	-0.628125	0.357955	0.00955509	498.679	-0.117535	-12.5985	-0.00718929	0.18614	0.06413	-1576
11754	qTQE26	566717.29	9147.6	1.80932	87.3248	-0.0465834	0.073665	64.6951	-0.00470581	3013.52	-0.63627	0.179617	0.00724754	374.565	-0.0485762	17.1599	0.00682549	0.24232	0.13570	-1636.91
11880	qTQE28	572665.97	9227.78	1.75431	100.808	-0.0036094	0.239131	395.701	0.0776683	2996.43	-0.611127	0.327528	0.010089	587.269	-0.104552	10.5715	-1.61547e-05	0.43814	0.32346	-1653.4
12822	qTQE47	617281.07	3023.41	-0.60328	401.138	0.0800784	0.142324	82.7184	-0.0368544	9302.28	1.78061	0.282736	0.00702348	179.318	0.000603923	-27.1774	0.00447	0.33152	0.24744	-1809.16
